keyframe,time_s,duration_s,source_line_start,source_line_end,D13,F19,E15,F20,E16,E17,F21,F22,E18,A1,B7,B8,A2,B9,A3,A5,A4,B10,B11,B12,A6
32,37.102000000000004,0.394,286,291,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0061359144248963274,-0.11044661672776615,0.10584467218244743,0.30833014490999877,0.05522329963723685,0.1150485612730849,-0.1733398355760624,-0.1733398355760624,0.07516506515138134,-0.11044661672776615,-0.15646604472765852
33,37.856,0.754,292,297,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0061359144248963274,-0.11044661672776615,0.09510681321223287,0.30833014490999877,0.007669901757766398,0.15800001460723612,-0.1733398355760624,-0.1733398355760624,0.07516506515138134,-0.11044661672776615,-0.13959225387925514
34,39.866,2.01,298,303,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,0.09510681321223287,0.2715146060007434,0.007669901757766398,0.15800001460723612,-0.1733398355760624,-0.1733398355760624,0.09664078309181047,-0.0061359144248963274,-0.13959225387925514
35,40.653999999999996,0.788,304,309,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,0.06442718872787381,0.2715146060007434,-0.03374758169680722,0.19788352818223262,-0.1733398355760624,-0.1733398355760624,0.09664078309181047,-0.0061359144248963274,-0.10431068484957737
36,42.663999999999994,2.01,310,315,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,0.2715146060007434,-0.09664078309181047,0.2715146060007434,-0.1733398355760624,-0.1733398355760624,0.09664078309181047,-0.0061359144248963274,0.0061359144248963274
37,42.998,0.334,335,342,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,0.2715146060007434,-0.09664078309181047,0.2715146060007434,-0.1733398355760624,-0.1733398355760624,0.09664078309181047,-0.0061359144248963274,0.0061359144248963274
38,43.33,0.332,343,350,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,0.2715146060007434,-0.09664078309181047,0.2715146060007434,-0.1733398355760624,-0.1733398355760624,0.09664078309181047,-0.0061359144248963274,0.0061359144248963274
39,43.83,0.5,351,362,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.004601944545318731,0.273048575880321,-0.09510681321223287,0.2715146060007434,-0.1733398355760624,-0.17640779278851054,0.0935728258793623,-0.0061359144248963274,0.004601944545318731
40,44.162,0.332,363,370,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.004601944545318731,0.273048575880321,-0.09510681321223287,0.2715146060007434,-0.1733398355760624,-0.17640779278851054,0.0935728258793623,-0.0061359144248963274,0.004601944545318731
41,48.18,4.018,371,378,0.0,-0.12578642024329947,-0.28992236672872435,0.27577565283656214,-0.2987853755631548,0.4015961750681163,0.16367575726688133,-0.2883883968491468,-0.27918450775850984,0.0,-0.0,-0.0061359144248963274,-0.004601944545318731,0.273048575880321,-0.09510681321223287,0.2715146060007434,-0.1733398355760624,-0.17640779278851054,0.0935728258793623,-0.0061359144248963274,0.004601944545318731
